gene_accession,type,class,mechanism,group,snp,gene_family,product_name,enhanced_class,enhanced_subclass
MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIIa,aminoglycoside N-acetyltransferase AAC(3)-VIIa,Aminoglycoside,Aminoglycoside
MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIII,aminoglycoside N-acetyltransferase AAC(3)-VIIIa,Aminoglycoside,Aminoglycoside
MEG_56|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IXa,aminoglycoside N-acetyltransferase AAC(3)-IXa,Aminoglycoside,Aminoglycoside
MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-VIa,aminoglycoside N-acetyltransferase AAC(3)-VIa,Aminoglycoside,Gentamicin
MEG_58|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIb,aminoglycoside N-acetyltransferase AAC(3)-IIb,Aminoglycoside,Gentamicin
MEG_59|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-Ia,aminoglycoside N-acetyltransferase AAC(3)-Ia,Aminoglycoside,Gentamicin
MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIa,aminoglycoside N-acetyltransferase AAC(3)-IIa,Aminoglycoside,Gentamicin
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIc,aminoglycoside N-acetyltransferase AAC(3)-IIc,Aminoglycoside,Gentamicin
MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,aac(3)-IIIa,aminoglycoside N-acetyltransferase AAC(3)-IIIa,Aminoglycoside,Gentamicin
MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_66|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3,,Unknown,Unknown,Unknown,Unknown
MEG_68|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME,,Unknown,Unknown,Unknown,Unknown
MEG_69|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME,,Unknown,Unknown,Unknown,Unknown
MEG_70|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME,,aac(3)-Ib/aac(6')-Ib'',bifunctional aminoglycoside N-acetyltransferase AAC(3)-Ib/aminoglycoside N-acetyltransferase AAC(6')-Ib'',Aminoglycoside,Gentamicin/Kanamycin/Tobramycin
MEG_71|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_72|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_73|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aacA37,aminoglycoside 6'-N-acetyltransferase AacA37,Aminoglycoside,Aminoglycoside
MEG_74|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aacA49,AAC(6')-Ia family aminoglycoside 6'-N-acetyltransferase AacA49,Aminoglycoside,Aminoglycoside
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-Ie/aph(2'')-Ia,bifunctional aminoglycoside N-acetyltransferase AAC(6')-Ie/aminoglycoside O-phosphotransferase APH(2'')-Ia,Aminoglycoside,Amikacin/Gentamicin/Kanamycin/Tobramycin
MEG_76|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_77|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_79|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_81|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_82|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,AAC(6')-Ighjkrstuvwx family aminoglycoside N-acetyltransferase,Aminoglycoside,Amikacin/Kanamycin/Tobramycin
MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_87|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-Ie/aph(2''),bifunctional AAC(6')-Ie family aminoglycoside N-acetyltransferase/APH(2'') family aminoglycoside O-phosphotransferase,Aminoglycoside,Amikacin/Gentamicin/Kanamycin/Tobramycin
MEG_89|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_90|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_91|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_92|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-I,aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_93|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6')-Id,aminoglycoside N-acetyltransferase AAC(6')-Id,Aminoglycoside,Aminoglycoside
MEG_94|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_95|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_96|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_97|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_98|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
MEG_100|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside N-acetyltransferase AAC(6')-Ial,Aminoglycoside,Aminoglycoside
MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME,,aac(6'),aminoglycoside 6'-N-acetyltransferase,Aminoglycoside,Aminoglycoside
